"YEAR","STATE","AGE_CATEGORY","GENDER","DISEASE_CATEGORY","PATIENTS","OFFICE_VISITS","A1C_MEAN","A1C_MEDIAN","A1C_STDDEV","WEIGHT_MEAN","WEIGHT_MEDIAN","WEIGHT_STDDEV","BMI_MEAN","BMI_MEDIAN","BMI_STDDEV","FBG_MEAN","FBG_MEDIAN","FBG_STDDEV","SBP_MEAN","SBP_MEDIAN","SBP_STDDEV","DBP_MEAN","DBP_MEDIAN","DBP_STDDEV"
"2005","ME","3","Male","1","103","817","7.56","7.3","1.55","223.57","218","46.27","32.25","31.31","5.66","149.82","141.5","53.45","134.49","134","18.03","73.94","72","9.55"
"2005","ME","3","Male","2","103","810","7.26","7","1.35","220.63","215.69","43.73","31.77","31.28","4.95","147.25","139.5","48.78","137.73","138","18.68","76.19","76","10.92"
"2005","MI","2","Female","1","118","1219","7.68","7.45","1.54","209.26","208","52.39","35.98","34.93","8.71","155.34","141","65.33","131.72","130","18.67","78.44","79","10.74"
"2005","MI","2","Female","2","125","1240","7.29","7","1.59","219.11","212","50.48","37.49","35.99","8.45","140.48","122.5","56.86","133.69","132","17.44","80.25","80","10.45"
"2005","MI","2","Male","1","126","932","7.7","7.2","1.7","228.68","228","49.91","33.49","32.45","7.05","155.9","136","65.84","130.79","130","19.19","78.87","79","10.93"
"2005","MI","2","Male","2","115","892","7.59","7.15","1.79","236.44","240","47.86","34.21","33.71","6.88","152.34","131","66.5","134.85","132","22.04","82.26","80","14.59"
"2005","MI","3","Female","1","106","1147","7.26","7","1.48","204.29","200","40.53","35.29","34.74","6.06","138.12","124","55.48","138.18","136.5","19.57","75.19","75","11.28"
"2005","MI","3","Female","2","130","1447","7.08","6.9","1.53","197.29","193.5","42.94","34.1","33.73","6.44","130.88","117","53.59","139.17","138","19.99","76.03","76","11.21"
"2005","MI","3","Male","1","147","1138","7.21","6.9","1.53","221.15","224","43.79","32.09","31.46","5.71","141.52","128","58.98","132.12","130","19.76","74.2","74","10.7"
"2005","MI","3","Male","2","137","1070","6.96","6.7","1.38","225.09","224","48.52","32.7","32","6.62","133.16","119","54.06","134.32","132","20.05","74.8","75","10.81"
"2005","MO","1","Female","1","122","762","7.62","7.2","1.95","240.17","240","58.84","39.75","38.88","9.04","150.85","126","73.92","123.52","122","13.77","76.79","78","10.08"
"2005","MO","2","Female","1","910","4928","7.42","7.1","1.6","224.3","216","56.26","38.55","37.36","9.2","150.91","131","64.68","130.8","130","17.08","77.26","78","10.53"
"2005","MO","2","Female","2","814","4624","7.19","6.8","1.56","225.03","220","56.36","38.83","37.87","9.33","139.51","121","59.95","132.3","130","17.38","78.89","80","10.7"
"2005","MO","2","Male","1","817","3844","7.55","7.2","1.51","244.14","236.05","54.11","35.07","33.89","7.61","156.37","140","64.78","131.2","130","16.81","78.27","80","10.35"
"2005","MO","2","Male","2","720","3437","7.26","7","1.47","246.49","239","54.24","35.38","34.21","7.53","146.79","128","61.16","133.15","130","17.22","80.3","80","10.55"
"2005","MO","3","Female","1","1155","6367","7.1","6.9","1.21","196.5","192.5","47.06","34.41","33.76","7.89","146.26","132","59.32","135.62","134","17.86","73.78","74","10.38"
"2005","MO","3","Female","2","1098","6438","6.94","6.7","1.17","196.43","191.99","46.1","34.58","33.74","7.82","138.52","125","52.45","136.3","136","17.88","75.05","76","10.54"
"2005","MO","3","Male","1","1145","6521","7.16","6.9","1.32","222.82","218","44.93","32.37","31.73","6.06","147.78","134","58.17","133.26","132","17.68","74.19","74","10.45"
"2005","MO","3","Male","2","1069","6355","6.97","6.7","1.33","223.35","218","44.91","32.51","31.85","6.03","141.69","127","54.32","134.39","134","17.94","75.65","76","10.78"
"2005","MO","4","Female","1","717","4411","6.99","6.8","1.02","169.02","165.99","34.41","30.32","29.52","6.48","141.07","129","56","139.33","138","20.44","71.17","70","11.03"
"2005","MO","4","Female","2","781","4841","6.84","6.7","1.02","167.34","164.5","34","30.18","29.51","6.2","134.34","121","52.05","139.71","138","20.09","72.2","72","10.96"
"2005","MO","4","Male","1","603","3905","6.87","6.7","0.94","199.45","197","38.53","29.72","29.24","5.68","139.69","127","53.95","132.94","132","19.32","69.7","70","10.45"
"2005","MO","4","Male","2","519","3629","6.74","6.6","0.95","199.27","196","36.59","29.77","29.24","5.53","134.18","122","50.01","134.98","134","19.85","70.69","70","10.62"
"2005","NC","1","Female","1","115","478","7.69","7.5","1.89","225.63","216","61.37","37.31","36.49","9.11","159.17","133","83.79","117.77","118","15.07","74.89","76","10.44"
"2005","NC","2","Female","1","737","3678","7.41","7.1","1.64","215.49","207","53.84","36.48","35.42","8.71","153.2","135","72.13","126.43","124","17.34","76.06","78","10.59"
"2005","NC","2","Female","2","552","2873","7.2","6.9","1.64","220.29","213.8","53.43","37.13","36.56","8.48","145.43","128","67.47","128.7","128","17.79","78.45","80","10.89"
"2005","NC","2","Male","1","654","2608","7.62","7.3","1.62","242.28","238","52.54","34.74","34.05","6.95","157.86","141.5","72.67","128.15","126","17.64","78.28","80","10.7"
"2005","NC","2","Male","2","444","1863","7.43","7.1","1.63","245.77","241","53.09","35.78","34.86","7.53","155.5","136","73.32","129.83","130","17.53","79.51","80","10.69"
"2005","NC","3","Female","1","911","4647","7.02","6.8","1.3","196.75","193","45.4","33.71","33.07","7.7","141.82","129","59.48","132.15","130","18.85","73.83","72","10.65"
"2005","NC","3","Female","2","777","4382","6.93","6.7","1.3","195.44","191","44.82","33.48","32.77","7.52","139.01","124","59.06","133.69","130","18.66","74.97","76","10.79"
"2005","NC","3","Male","1","845","4069","7.18","7","1.34","222.62","217.8","44.75","32.15","31.55","6","149.57","137","60.83","129.53","130","17.99","73.51","72","10.2"
"2005","NC","3","Male","2","686","3424","6.99","6.8","1.27","226.74","221","45.79","32.91","32.19","6.21","143.71","130","56.43","132.09","130","18.25","75.13","76","10.52"
"2005","NC","4","Female","1","529","2868","6.9","6.7","1.16","169.49","165","36.66","30.13","29.22","6.59","141.97","130","57.31","133.91","130","19.83","71.14","70","11.05"
"2005","NC","4","Female","2","463","2827","6.81","6.6","1.17","169.74","165","37.47","30.36","29.34","6.63","138.56","125.5","56.56","135.27","132","20.04","71.68","70","10.98"
"2005","NC","4","Male","1","359","1815","6.85","6.7","1.01","194.42","192.2","34.67","28.41","28.11","4.93","148.78","135","59.15","126.41","124","18.12","69.54","70","10.41"
"2005","NC","4","Male","2","255","1337","6.77","6.65","1.02","201.44","199","34.23","29.56","29.18","4.94","143.9","132","53.87","129.57","128","18.2","70.89","70","10.26"
"2005","NH","2","Female","1","466","3954","7.44","7","1.68","218.55","212","55.59","37.6","36.65","9.17","152.8","135","66.17","129.57","128","17.83","76.22","78","10.51"
"2005","NH","2","Female","2","400","3236","7.18","6.7","1.62","222.05","217","52.79","38.19","37.41","8.85","137.71","123","55.88","132.39","130","17.79","78.09","78","10.83"
"2005","NH","2","Male","1","455","3093","7.41","7","1.63","244.44","239","59.95","35.48","34.73","8.14","156.62","143","61.36","131.1","130","16.68","78.29","80","10.51"
"2005","NH","2","Male","2","432","2890","7.08","6.7","1.54","246.03","239","62.49","35.87","34.44","8.76","144.2","128","57.13","133.87","132","17","80.26","80","10.61"
"2005","NH","3","Female","1","516","3878","6.95","6.7","1.1","192.93","188","45.02","34.45","34.01","8.06","138.17","129","47.19","133.45","131","19.61","72.43","72","11.22"
"2005","NH","3","Female","2","492","3649","6.77","6.5","1.02","192.13","184","44.27","34.46","33.75","8.09","131.11","122","41.41","135.24","133","19.11","73.76","74","10.97"
"2005","NH","3","Male","1","459","3127","7.08","6.8","1.24","222.88","216","47.22","32.81","31.82","6.43","148.16","138","55.94","132.82","132","18.67","73.31","72","10.43"
"2005","NH","3","Male","2","438","2741","6.93","6.7","1.22","225.59","221","46.2","33.28","32.51","6.46","142.56","129","55.08","135.45","134","18.57","75.06","75","10.48"
"2005","NH","4","Female","1","262","1966","6.85","6.7","0.97","161.66","156.51","34.12","29.78","28.51","6.1","136.98","126","48.81","139.09","138","20.73","70.28","70","11.55"
"2005","NH","4","Female","2","292","2153","6.71","6.6","0.97","161.96","156.5","33.21","29.59","28.34","5.92","131.13","119","47.17","139.04","136.5","20.86","70.82","70","11.32"
"2005","NH","4","Male","1","214","1496","6.9","6.7","1.07","188","189","33.41","28.72","28.25","4.83","141.01","130","52.5","132.31","130","20.49","69.26","70","10.75"
"2005","NH","4","Male","2","204","1349","6.77","6.6","1.01","187.22","189","33.78","28.82","28.26","5.15","135.45","124","47.8","134.26","132","20.11","70.11","70","11.01"
"2005","NY","1","Female","1","102","652","7.48","7.1","1.84","215.17","217","62.26","37.58","37.24","10.24","156.9","134","72.56","121.48","120","14.5","77.52","80","9.31"
"2005","NY","2","Female","1","835","6159","7.39","7","1.61","212.34","206.29","55.05","36.83","35.84","8.92","146.56","130","60.21","127.41","128","15.72","77.01","78","9.62"
"2005","NY","2","Female","2","830","6017","7.07","6.6","1.57","214.5","211","53.38","37.01","36.02","8.5","135.29","118","57.42","130.18","130","15.61","79.15","80","9.93"
"2005","NY","2","Male","1","1036","5895","7.45","7.1","1.65","232.91","224","55.44","34.1","33.17","7.26","149.62","134","60.05","127.64","128","15.71","78.73","80","9.25"
"2005","NY","2","Male","2","985","5346","7.02","6.6","1.57","237.2","228.01","53.59","34.41","33.94","7.18","135.82","122","52.3","129.72","130","15.69","80.33","80","9.54"
"2005","NY","3","Female","1","1176","9457","7.09","6.8","1.25","191.36","187.75","43.37","34.13","33.43","7.3","140.23","129","51.36","131.54","130","17.01","75.29","76","9.6"
"2005","NY","3","Female","2","1377","10632","6.85","6.6","1.21","189.54","185","42.9","33.49","32.62","7.25","132.25","120","48.33","132.77","130","16.65","76.39","78","9.55"
"2005","NY","3","Male","1","1335","9793","7.08","6.8","1.27","218.04","213","47.27","32.27","31.56","6.24","146.03","134","53.43","128.29","130","16.34","74.74","76","9.23"
"2005","NY","3","Male","2","1383","9645","6.82","6.6","1.23","217.97","213","45.38","32.02","31.32","5.9","135.43","123","48.24","130.12","130","16","75.96","78","9.43"
"2005","NY","4","Female","1","936","7417","6.87","6.7","1.04","165.36","160.01","37.05","30.53","29.59","6.68","135.03","124","47.94","133.45","130","17.75","72.77","72","9.62"
"2005","NY","4","Female","2","1101","8885","6.7","6.5","1.02","163","158","36.62","30.04","29.06","6.64","128.13","118","44.07","134.12","130","17.73","73.35","72","9.5"
"2005","NY","4","Male","1","744","6709","6.77","6.6","1.09","187.75","184.01","37.49","28.96","28.24","5.21","137.83","126","51.81","127.24","128","16.64","70.97","70","9.45"
"2005","NY","4","Male","2","732","6656","6.61","6.4","1.03","186.85","183","36.38","28.78","28.13","5.03","131.43","120","46.5","129.19","130","16.49","72","70","9.56"
"2005","PA","2","Female","1","377","2699","7.17","6.7","1.68","209.6","209","47.5","36.08","35.51","8.16","143.91","128","60.11","131.45","130","16.96","78.51","80","9.79"
"2005","PA","2","Female","2","349","2511","7.01","6.5","1.76","210.98","210.13","43.79","36.58","35.87","7.17","133.78","120","53.57","134.23","132","16.56","80.74","80","9.64"
"2005","PA","2","Male","1","521","3296","7.16","6.8","1.49","239.83","235.8","47.41","34.33","33.47","6.31","143.44","130","55.99","130.64","130","15.64","80.14","80","9.4"
"2005","PA","2","Male","2","505","3241","6.89","6.6","1.45","241.62","236","47.23","34.61","33.67","6.28","136.06","123","52.3","132.29","130","15.14","81.51","80","9.19"
"2005","PA","3","Female","1","798","6700","6.86","6.6","1.26","194.23","190.4","42.75","33.89","33.1","7.45","141.18","129","51.14","134.83","132","17.05","75.32","76","9.84"
"2005","PA","3","Female","2","838","6756","6.79","6.5","1.27","197.15","193","43.85","34.41","33.66","7.53","138.71","126","50.05","135.8","134","17.45","76.17","78","9.98"
"2005","PA","3","Male","1","832","6284","6.84","6.6","1.23","220.42","212","42.81","32.15","31.26","5.94","142.5","129","53.83","132.43","130","16.81","75.49","76","10.01"
"2005","PA","3","Male","2","768","5890","6.77","6.5","1.26","221.54","214","41.23","32.33","31.58","5.6","137.59","125","52.82","134.39","132","17.65","76.54","78","10.23"
